user_id,country,acquisition_channel,device,signup_at,kyc_started_at,kyc_completed_at,first_transaction_at
20001,UK,organic,Web,2025-04-10 14:47:00,2025-04-10 15:45:00,2025-04-10 17:39:00,
20002,UK,partnership,Android,2025-02-01 02:58:00,2025-02-01 03:22:00,2025-02-01 12:09:00,2025-02-07 21:54:00
20003,Italy,referral,iOS,2024-05-24 18:56:00,2024-05-24 20:08:00,2024-05-24 21:24:00,2024-05-28 18:48:00
20004,Germany,paid_search,Android,2024-07-21 08:09:00,2024-07-21 09:47:00,2024-07-21 15:49:00,2024-07-22 04:10:00
20005,Spain,partnership,iOS,2025-06-15 08:59:00,,,
20006,UK,partnership,Android,2024-10-02 15:22:00,2024-10-02 18:01:00,,
20007,Italy,paid_search,Web,2024-09-20 08:01:00,2024-09-20 10:51:00,2024-09-20 16:37:00,
20008,Spain,paid_social,Android,2024-03-14 13:07:00,2024-03-14 14:41:00,2024-03-14 20:54:00,2024-03-17 22:18:00
20009,UK,partnership,Web,2025-05-26 01:11:00,2025-05-26 04:18:00,2025-05-26 12:21:00,2025-06-01 20:56:00
20010,France,organic,iOS,2024-06-08 22:03:00,2024-06-09 01:30:00,2024-06-09 06:50:00,2024-06-15 18:12:00
20011,France,paid_search,Web,2025-06-06 18:27:00,2025-06-06 22:14:00,,
20012,Germany,paid_social,iOS,2024-11-30 03:01:00,2024-11-30 05:25:00,2024-11-30 12:53:00,
20013,France,paid_search,iOS,2024-10-17 20:01:00,2024-10-17 20:25:00,2024-10-17 23:26:00,2024-10-22 19:12:00
20014,UK,referral,Android,2025-03-10 07:00:00,2025-03-10 09:00:00,2025-03-10 18:36:00,
20015,UK,partnership,Android,2024-01-09 08:38:00,2024-01-09 10:06:00,2024-01-09 17:41:00,2024-01-09 19:04:00
20016,France,partnership,iOS,2025-06-09 19:28:00,2025-06-09 19:56:00,,
20017,Italy,partnership,iOS,2024-08-05 07:42:00,2024-08-05 10:58:00,2024-08-05 20:31:00,2024-08-11 10:26:00
20018,UK,paid_social,Android,2024-01-15 04:22:00,2024-01-15 05:24:00,,
20019,UK,referral,iOS,2024-02-27 08:22:00,,,
20020,Germany,paid_search,Web,2025-01-22 21:42:00,2025-01-23 00:03:00,2025-01-23 09:13:00,
20021,Germany,partnership,Web,2024-11-04 02:52:00,2024-11-04 05:55:00,2024-11-04 12:27:00,2024-11-10 10:16:00
20022,UK,paid_search,iOS,2024-11-24 18:17:00,2024-11-24 18:23:00,2024-11-24 22:28:00,2024-11-25 00:55:00
20023,UK,paid_search,iOS,2024-02-21 16:41:00,,,
20024,UK,partnership,iOS,2024-08-28 14:39:00,2024-08-28 16:44:00,2024-08-28 19:09:00,
20025,Italy,referral,iOS,2025-02-19 19:42:00,2025-02-19 23:09:00,2025-02-20 01:39:00,2025-02-24 02:53:00
20026,Spain,referral,Web,2024-11-04 10:34:00,2024-11-04 13:22:00,,
20027,UK,referral,Web,2024-03-12 15:58:00,2024-03-12 19:39:00,2024-03-12 23:05:00,2024-03-18 02:05:00
20028,Spain,paid_search,Android,2024-04-12 01:51:00,2024-04-12 05:35:00,,
20029,Italy,organic,iOS,2024-11-18 16:16:00,2024-11-18 18:35:00,,
20030,Germany,paid_search,Android,2024-03-08 21:53:00,2024-03-08 22:48:00,,
20031,Germany,referral,iOS,2024-02-12 16:43:00,,,
20032,Spain,paid_social,Android,2024-07-12 02:45:00,2024-07-12 05:53:00,,
20033,Spain,paid_search,iOS,2025-02-08 16:45:00,2025-02-08 17:00:00,2025-02-09 02:25:00,2025-02-12 16:33:00
20034,UK,partnership,Android,2024-02-11 15:02:00,2024-02-11 18:41:00,2024-02-11 19:49:00,
20035,Germany,organic,Web,2024-02-28 08:02:00,2024-02-28 11:43:00,2024-02-28 13:55:00,
20036,Germany,partnership,Web,2025-02-18 19:47:00,2025-02-18 20:08:00,2025-02-19 05:56:00,2025-02-22 05:38:00
20037,France,paid_search,Android,2024-05-28 17:41:00,2024-05-28 20:33:00,2024-05-29 06:11:00,
20038,UK,referral,Web,2024-02-22 19:46:00,,,
20039,UK,partnership,iOS,2024-03-13 19:17:00,2024-03-13 19:51:00,,
20040,Germany,paid_social,Android,2024-02-20 02:12:00,2024-02-20 05:46:00,2024-02-20 11:05:00,2024-02-26 12:01:00
20041,Italy,paid_social,Web,2024-01-06 16:43:00,2024-01-06 20:28:00,2024-01-06 23:23:00,
20042,France,paid_social,Web,2024-04-23 04:38:00,2024-04-23 06:06:00,2024-04-23 13:15:00,2024-04-24 03:37:00
20043,Spain,paid_social,iOS,2024-03-08 05:01:00,2024-03-08 08:19:00,2024-03-08 12:57:00,2024-03-13 14:06:00
20044,Spain,partnership,iOS,2025-02-05 17:18:00,2025-02-05 21:05:00,2025-02-05 23:47:00,2025-02-10 05:06:00
20045,Italy,paid_search,Android,2025-02-28 04:05:00,2025-02-28 05:24:00,2025-02-28 08:05:00,2025-03-03 04:43:00
20046,UK,paid_social,Web,2025-04-30 15:30:00,,,
20047,Italy,paid_search,iOS,2024-10-22 21:57:00,2024-10-23 01:22:00,2024-10-23 09:00:00,2024-10-27 04:12:00
20048,Germany,paid_social,iOS,2024-10-26 19:12:00,2024-10-26 19:40:00,2024-10-26 20:29:00,
20049,Germany,referral,Android,2024-06-10 23:18:00,2024-06-11 02:42:00,,
20050,UK,paid_search,Android,2024-06-11 07:52:00,2024-06-11 11:34:00,2024-06-11 16:29:00,2024-06-17 12:05:00
20051,Italy,paid_social,iOS,2024-10-18 00:53:00,2024-10-18 02:00:00,2024-10-18 07:10:00,2024-10-23 06:19:00
20052,France,referral,Web,2024-09-08 17:19:00,,,
20053,Spain,partnership,iOS,2024-03-25 05:03:00,2024-03-25 08:05:00,2024-03-25 17:07:00,
20054,Germany,paid_social,Android,2025-01-27 02:07:00,2025-01-27 04:58:00,,
20055,France,organic,Web,2025-03-29 18:25:00,,,
20056,France,referral,Android,2025-01-04 06:36:00,2025-01-04 07:52:00,2025-01-04 13:25:00,2025-01-08 21:26:00
20057,Germany,partnership,Web,2025-05-08 04:59:00,2025-05-08 07:20:00,,
20058,France,paid_search,Android,2024-08-09 06:35:00,2024-08-09 09:11:00,2024-08-09 19:30:00,2024-08-12 06:21:00
20059,Spain,paid_search,Web,2025-01-07 05:24:00,2025-01-07 07:36:00,2025-01-07 13:29:00,2025-01-10 06:07:00
20060,France,paid_search,iOS,2025-05-04 21:57:00,2025-05-04 22:09:00,2025-05-05 09:21:00,
20061,Spain,referral,Web,2024-02-23 00:45:00,2024-02-23 03:49:00,2024-02-23 12:25:00,2024-02-25 05:12:00
20062,UK,organic,Android,2025-04-22 17:26:00,2025-04-22 20:52:00,,
